,CVE_CLPV,FECHA_ENT,FECHA_VEN,CAN_TOT
169,      5926,2019-09-19 00:00:00,2019-09-20,120.00000000000001
170,      5926,2019-09-19 00:00:00,2019-09-20,2371.3500000000004
171,      5926,2019-09-19 00:00:00,2019-09-20,252.16000000000003
172,      5930,2019-09-20 00:00:00,2019-11-24,14240.000000000002
173,      5926,2019-09-17 00:00:00,2019-09-20,142.26000000000002
174,      5926,2019-09-18 00:00:00,2019-09-20,1700.0000000000002
175,      5926,2019-09-18 00:00:00,2019-09-20,708.0200000000001
176,      5926,2019-09-18 00:00:00,2019-09-20,111.00000000000001
177,      5926,2019-09-18 00:00:00,2019-09-20,918.34
178,      5926,2019-09-18 00:00:00,2019-09-20,102.42
179,      4676,2019-09-20 00:00:00,2019-09-20,695.69
180,        49,2019-09-19 00:00:00,2019-10-05,2900.0
181,      6395,2019-09-20 00:00:00,2019-09-20,280.0
182,      1852,2019-09-17 00:00:00,2019-10-05,7125.9000000000015
183,       871,2019-09-23 00:00:00,2019-10-08,7300.000000000001
184,      6059,2019-09-23 00:00:00,2019-09-23,3426.7500000000005
185,      1703,2019-09-06 00:00:00,2019-10-23,50994.00000000001
186,      1965,2019-09-23 00:00:00,2019-10-08,2790.5000000000005
187,       989,2019-09-23 00:00:00,2019-10-08,2726.5200000000004
188,       989,2019-09-23 00:00:00,2019-10-08,1363.2600000000002
189,      3222,2019-09-23 00:00:00,2019-09-23,1363.2600000000002
190,      5149,2019-09-23 00:00:00,2019-09-23,2726.5200000000004
191,      3222,2019-09-23 00:00:00,2019-09-23,1363.2600000000002
192,      6846,2019-09-23 00:00:00,2019-09-23,1282.3300000000002
193,       161,2019-09-20 00:00:00,2019-10-23,1054.0
194,       161,2019-09-20 00:00:00,2019-10-23,1054.0
195,      6833,2019-09-23 00:00:00,2019-09-23,1080.02
196,      4831,2019-09-23 00:00:00,2019-09-23,1540.0000000000002
197,      5486,2019-09-23 00:00:00,2019-09-23,3175.0000000000005
198,       664,2019-09-25 00:00:00,2019-10-08,10463.01
199,       664,2019-09-18 00:00:00,2019-10-08,4232.25
200,       664,2019-09-25 00:00:00,2019-10-08,10463.01
201,       664,2019-09-18 00:00:00,2019-10-08,4232.25
202,       664,2019-09-18 00:00:00,2019-10-08,4232.25
203,      4631,2019-09-23 00:00:00,2019-10-23,2900.0000000000005
204,      4631,2019-09-23 00:00:00,2019-10-23,1450.0000000000002
205,      6661,2019-09-13 00:00:00,2019-09-23,1627.5000000000002
206,      4802,2019-09-09 00:00:00,2019-09-23,6186.337500000001
207,       161,,2019-10-23,1230.0
208,      6670,2019-09-23 00:00:00,2019-09-23,6492.000000000001
209,      6383,2019-09-24 00:00:00,2019-09-24,2144.0
210,      1125,2019-09-24 00:00:00,2019-10-09,1319.0
211,      6177,2019-09-24 00:00:00,2019-09-24,4135.700000000001
212,      6726,2019-09-23 00:00:00,2019-09-24,4700.0
213,      6848,2019-09-24 00:00:00,2019-09-24,1900.0000000000002
214,      4427,2019-09-24 00:00:00,2019-09-24,287.1
215,      4427,2019-09-24 00:00:00,2019-09-24,287.1
216,       357,2019-09-24 00:00:00,2019-09-24,3885.4800000000005
217,      6849,2019-09-24 00:00:00,2019-09-24,36.0
